time,px,py,pz,vx,vy,vz,roll,pitch,yaw,ba_x,ba_y,ba_z,bg_x,bg_y,bg_z
0.805,3.00012373924255,-0.85194981098175,-0.767756938934326,-9.57036539557183e-05,-8.11333111720227e-05,5.27646703763101e-05,0.270545542240143,-0.0200571548193693,-0.326907992362976,0,0,0,0,0,0
0.8075,3.0001232624054,-0.851949989795685,-0.767756819725037,-9.08985037253812e-05,-6.99761177656058e-05,6.43643384052794e-05,0.315708935260773,-0.0411012209951878,-0.181102067232132,0,0,0,0,0,0
0.81,3.0001232624054,-0.851950109004974,-0.767756640911102,-9.59714461693967e-05,-8.16638269643996e-05,5.54907985498771e-05,0.316681832075119,-0.0411450751125813,-0.180162042379379,0,0,0,0,0,0
0.8125,3.00012278556824,-0.851950347423553,-0.767756521701813,-9.11854426139353e-05,-0.000113012562031952,6.96795596762995e-05,0.317687958478928,-0.0412723533809185,-0.179363697767258,0,0,0,0,0,0
0.815,3.00012278556824,-0.851950645446777,-0.767756342887878,-9.20744065456412e-05,-0.000123092957009445,6.76151954890674e-05,0.318707019090652,-0.0408992618322372,-0.179509773850441,0,0,0,0,0,0
0.8175,3.00012254714966,-0.851951003074646,-0.767756164073944,-0.000103666760770128,-0.000133995958390515,7.42808045717359e-05,0.338236033916473,-0.0264969412237406,-0.0718784332275391,0,0,0,0,0,0
0.82,3.0001220703125,-0.85195130109787,-0.767755925655365,-0.000114506153051641,-0.000166429783065249,7.42524946954291e-05,0.33929654955864,-0.0250579155981541,-0.0726821795105934,0,0,0,0,0,0
0.8225,3.00012183189392,-0.851951718330383,-0.767755746841431,-0.000102042151134356,-0.000158566972945339,4.93660706662258e-05,0.340082317590714,-0.0240488965064287,-0.0727876648306847,0,0,0,0,0,0
0.825,3.00012159347534,-0.851952135562897,-0.767755687236786,-0.00010712440166784,-0.000170534548515225,5.1589880466673e-05,0.340844571590424,-0.0238216035068035,-0.0728174448013306,0,0,0,0,0,0
0.8275,3.00012135505676,-0.851952612400055,-0.767755568027496,-0.000109696559875271,-0.000183419273073056,3.04410024484595e-05,0.306920886039734,-0.0015831800410524,0.0558923743665218,0,0,0,0,0,0
0.83,3.00012111663818,-0.851953089237213,-0.767755508422852,-0.000112935567554592,-0.000148213263001209,1.40190744412499e-05,0.307004541158676,-0.00126365351025015,0.0556064546108246,0,0,0,0,0,0
0.8325,3.0001208782196,-0.851953387260437,-0.767755508422852,-0.000125308092088704,-0.000152035766536863,8.74298981534705e-06,0.307058721780777,-0.000581467524170876,0.0555327050387859,0,0,0,0,0,0
0.835,3.00012063980103,-0.85195380449295,-0.767755448818207,-0.000130183327968391,-0.00014831108957665,-6.81865667028176e-06,0.307449728250504,0.000662022037431598,0.0561547800898552,0,0,0,0,0,0
0.8375,3.00012040138245,-0.851954162120819,-0.767755448818207,-0.0001116375016503,-0.000157471244995413,3.04169433899931e-06,0.226488009095192,-0.0143719874322414,0.201111853122711,0,0,0,0,0,0
0.84,3.00012016296387,-0.851954579353333,-0.767755448818207,-0.000108118584286787,-0.000104200101393782,-1.13993608897696e-05,0.226044952869415,-0.0129619482904673,0.201928421854973,0,0,0,0,0,0
0.8425,3.00011992454529,-0.851954817771912,-0.767755508422852,-8.07501581229829e-05,-0.000102563648795196,8.11641217059486e-06,0.225310415029526,-0.0119883315637708,0.202016100287437,0,0,0,0,0,0
0.845,3.00011992454529,-0.851955056190491,-0.767755448818207,-0.000105846200363349,-8.0866569825628e-05,-8.3943687588495e-06,0.224458083510399,-0.011788496747613,0.20177398622036,0,0,0,0,0,0
0.8475,3.00013971328735,-0.851940393447876,-0.767763197422028,-9.12514660740271e-05,-9.31175090954639e-05,-1.38131972562405e-05,0.159181371331215,-0.0352487862110138,0.281531721353531,0,0,0,0,0,0
0.85,3.00013971328735,-0.851940631866455,-0.767763257026672,-0.000121317521011655,-9.00805859103881e-05,-4.5561816813072e-05,0.159476593136787,-0.0349065326154232,0.281479448080063,0,0,0,0,0,0
0.8525,3.0001392364502,-0.851940870285034,-0.767763435840607,-0.000113491631642688,-5.29363784505006e-05,-9.01477314037492e-05,0.160487323999405,-0.0340450815856457,0.281455010175705,0,0,0,0,0,0
