k,stage,traceP,rcondP,K_norm,y_norm
NaN,baro_post,0.0878584208867,0.000258075715806,0.00574400779352,3.68873861554
153,post_predict,0.087967279868,0.000268513204355,NaN,NaN
154,post_predict,0.0880769256724,0.000278813778861,NaN,NaN
155,post_predict,0.0881873448772,0.000288980128114,NaN,NaN
156,post_predict,0.0882985499476,0.000299014361269,NaN,NaN
NaN,baro_post,0.0881677122462,0.000296387172119,0.00553090333185,2.85690310444
157,post_predict,0.0882795087323,0.000306304445395,NaN,NaN
158,post_predict,0.0883920840059,0.000316096718874,NaN,NaN
159,post_predict,0.08850545849,0.000325754338604,NaN,NaN
160,post_predict,0.0886196199597,0.000335286084403,NaN,NaN
NaN,baro_post,0.0884963098479,0.000332001379262,0.00546905677464,2.51269638982
160,gps_pre,0.0884963098479,0.000332001379262,1.63984609398,1.57014840111
160,gps_post,0.0662189548465,1.49213898838e-14,0.000572425963149,1.57014840111
161,post_predict,0.0662866690564,9.21743336109e-09,NaN,NaN
162,post_predict,0.0663551010335,9.08479829886e-09,NaN,NaN
163,post_predict,0.0664242502263,8.9295419622e-09,NaN,NaN
164,post_predict,0.0664941284832,8.78083129476e-09,NaN,NaN
165,post_predict,0.0665647285672,8.66196195994e-09,NaN,NaN
166,post_predict,0.066636062262,8.58089085375e-09,NaN,NaN
167,post_predict,0.0667081335759,8.52990125402e-09,NaN,NaN
168,post_predict,0.0667809367954,8.51124260373e-09,NaN,NaN
169,post_predict,0.0668525582962,8.50294775355e-09,NaN,NaN
170,post_predict,0.066926840283,8.50383378757e-09,NaN,NaN
170,gps_pre,0.066926840283,8.50383379081e-09,0.00924353928755,0.560898708334
170,gps_post,0.066911332834,8.50457476742e-09,0.00924168325018,0.560898708334
171,post_predict,0.0669863495083,8.51502050835e-09,NaN,NaN
172,post_predict,0.0670621137352,8.51257481861e-09,NaN,NaN
NaN,accel_post,0.0661220756751,3.17906687941e-08,0.587968449591,0.033482788235
NaN,mag_post,0.0661220756751,3.17906687941e-08,0.587968449591,0.033482788235
NaN,baro_post,0.0660020186938,3.17432526485e-08,0.00510349606957,2.95473041978
173,post_predict,0.0660770111907,3.96425708078e-08,NaN,NaN
174,post_predict,0.0661527145709,4.91690109032e-08,NaN,NaN
175,post_predict,0.0662291325354,6.04308315487e-08,NaN,NaN
176,post_predict,0.0663062626824,7.35289826893e-08,NaN,NaN
NaN,baro_post,0.0661987997284,7.35284553719e-08,0.00485406000256,6.18982532055
177,post_predict,0.0662695769985,8.86044845018e-08,NaN,NaN
178,post_predict,0.066347947915,1.05683045951e-07,NaN,NaN
179,post_predict,0.0664270437175,1.24844872454e-07,NaN,NaN
180,post_predict,0.06650686181,1.46231771803e-07,NaN,NaN
NaN,accel_post,0.0661955334971,1.49231403133e-07,0.413552088767,0.0530711937386
NaN,mag_post,0.0661955334971,1.49231403133e-07,0.413552088767,0.0530711937386
180,gps_pre,0.0661955334971,1.49231403133e-07,0.0270265713662,1.21112293145
180,gps_post,0.0661610719374,1.49252534744e-07,0.0269948083572,1.21112293145
181,post_predict,0.0662411278716,1.76582081537e-07,NaN,NaN
182,post_predict,0.066321894899,2.06857350341e-07,NaN,NaN
183,post_predict,0.0664033768136,2.40031984893e-07,NaN,NaN
184,post_predict,0.0664855745874,2.76428239207e-07,NaN,NaN
NaN,baro_post,0.0663825899182,2.76448236507e-07,0.00471845759293,3.01034495805
185,post_predict,0.0664548582632,3.15881210347e-07,NaN,NaN
186,post_predict,0.0665382938821,3.58412801641e-07,NaN,NaN
187,post_predict,0.0666224523892,4.0338075984e-07,NaN,NaN
188,post_predict,0.0667073352652,4.51056161243e-07,NaN,NaN
NaN,accel_post,0.066511985157,4.57562226998e-07,0.346300349762,0.24059732661
NaN,mag_post,0.066511985157,4.57562226998e-07,0.346300349762,0.24059732661
NaN,baro_post,0.0664209997227,4.57560728315e-07,0.00441359722131,10.991856041
189,post_predict,0.0665061381015,5.12294448901e-07,NaN,NaN
190,post_predict,0.0665919928005,5.70465767147e-07,NaN,NaN
190,gps_pre,0.0665919928005,5.70465767148e-07,0.00830724016307,4.50600514967
190,gps_post,0.0665585962321,5.70578909944e-07,0.00830216596874,4.50600514967
191,post_predict,0.066645131904,6.32317826238e-07,NaN,NaN
192,post_predict,0.0667323881021,6.97716468045e-07,NaN,NaN
NaN,baro_post,0.0666622097544,6.9778193917e-07,0.00361016986328,1.57655846636
193,post_predict,0.0667329470456,7.66757921411e-07,NaN,NaN
194,post_predict,0.0668214870441,8.39274440188e-07,NaN,NaN
195,post_predict,0.0669107544552,9.15108449256e-07,NaN,NaN
196,post_predict,0.0670007511472,9.94498248721e-07,NaN,NaN
NaN,baro_post,0.0669345484109,9.94788915595e-07,0.00355071077117,3.76472011147
197,post_predict,0.0670251537866,1.07778872686e-06,NaN,NaN
198,post_predict,0.0671164929608,1.16413362887e-06,NaN,NaN
199,post_predict,0.0672085679954,1.25417202425e-06,NaN,NaN
200,post_predict,0.0673013827854,1.34709465361e-06,NaN,NaN
NaN,accel_post,0.0671264768801,1.3824268994e-06,0.312578475028,0.0391825704806
NaN,mag_post,0.0671264768801,1.3824268994e-06,0.312578475028,0.0391825704806
NaN,baro_post,0.0670652802927,1.38253644326e-06,0.00339655246939,1.5602334418
200,gps_pre,0.0670481777801,1.3825435345e-06,0.00551700895058,1.92917163446
200,gps_post,0.067010358324,1.38310626397e-06,0.00551158774767,1.92917163446
201,post_predict,0.0671033907147,1.48917231746e-06,NaN,NaN
202,post_predict,0.0671971543137,1.59849743981e-06,NaN,NaN
203,post_predict,0.0672916503574,1.71153700272e-06,NaN,NaN
204,post_predict,0.0673868801487,1.82853342273e-06,NaN,NaN
NaN,accel_post,0.0672877055071,1.84579042208e-06,0.249274217511,0.0598367982771
NaN,mag_post,0.0672877055071,1.84579042208e-06,0.249274217511,0.0598367982771
205,post_predict,0.0673834808536,1.97190549735e-06,NaN,NaN
206,post_predict,0.0674799878203,2.10153086197e-06,NaN,NaN
207,post_predict,0.0675772284527,2.23507059442e-06,NaN,NaN
208,post_predict,0.0676752067509,2.37199896066e-06,NaN,NaN
NaN,accel_post,0.0676034806428,2.38501049816e-06,0.216306227886,0.0827932762185
NaN,mag_post,0.0676034806428,2.38501049816e-06,0.216306227886,0.0827932762185
NaN,baro_post,0.0675428317127,2.38508078585e-06,0.00338087428943,3.38662120085
209,post_predict,0.0676171828299,2.53101522618e-06,NaN,NaN
210,post_predict,0.067716318279,2.68019387433e-06,NaN,NaN
210,gps_pre,0.067716318279,2.68019387433e-06,0.00469780726217,1.45171819994
210,gps_post,0.0676723155538,2.68083696524e-06,0.0046891790515,1.45171819994
211,post_predict,0.0677721373755,2.83467822951e-06,NaN,NaN
212,post_predict,0.0678726978491,2.99153047399e-06,NaN,NaN
NaN,baro_post,0.0678168315316,2.99174114965e-06,0.00325486157516,1.34556850427
213,post_predict,0.0679180247304,3.15221514599e-06,NaN,NaN
214,post_predict,0.0680199596926,3.31687784599e-06,NaN,NaN
215,post_predict,0.0681226417895,3.4849688007e-06,NaN,NaN
216,post_predict,0.0682260711936,3.65695098444e-06,NaN,NaN
NaN,baro_post,0.0681735127996,3.65750750701e-06,0.00319673223146,3.50223299043
217,post_predict,0.0682775887072,3.83298955262e-06,NaN,NaN
218,post_predict,0.0683824151106,4.01250628588e-06,NaN,NaN
219,post_predict,0.0684879974625,4.19500758326e-06,NaN,NaN
220,post_predict,0.0685943358883,4.38131271845e-06,NaN,NaN
NaN,accel_post,0.0684873305705,4.44116593262e-06,0.248311066984,0.0427098518694
NaN,mag_post,0.0684873305705,4.44116593262e-06,0.248311066984,0.0427098518694
NaN,baro_post,0.0684386728336,4.44147172981e-06,0.00306507053202,3.56330281337
220,gps_pre,0.0684386728336,4.44147172982e-06,0.00575428436682,2.24595324499
220,gps_post,0.0683840677364,4.44322724106e-06,0.00574249257578,2.24595324499
221,post_predict,0.068490753787,4.6504046731e-06,NaN,NaN
222,post_predict,0.0685981919072,4.85850861557e-06,NaN,NaN
223,post_predict,0.0687063851502,5.0697175086e-06,NaN,NaN
224,post_predict,0.0688153356692,5.28411499452e-06,NaN,NaN
