t     , x                    , y                  , vx                  , vy                   , theta            , ax                  , ay                   , omega, z, vz, meas_pos_x         , meas_pos_y          , meas_vel_x          , meas_vel_y           , meas_heading_x       , meas_heading_y       , accel3_x            , accel3_y             , accel3_z         , gyro3_x              , gyro3_y              , gyro3_z              , mag3_x              , mag3_y               , mag3_z               , gps_x              , gps_y               , baro
 84.44, -40.6617410828125    , 29.0967835355443   , -5.81935670710885   , -8.13234821656249    , 21.370041694503  , 1.6264696433125     , -1.16387134142177    ,   0.2, 0,  0, -40.7992506766231  , 29.2616239291923    , -5.88409751486731   , -8.29391909296243    , -0.813456738664913   , 0.581625424410456    , 18.535584846114     , 0.1190266696806      , -9.89212400865441, 0.00510853919491961  , -0.00129397260607305 , -1.86494730887094    , -0.881902548749304  , 0.554980281354673    , 0.0519971552630532   , -41.4545168787974  , 28.525196600527     , -0.89783188379848
 84.45, -41.0433734382479    , 28.5559362796692   , -5.71118725593384   , -8.20867468764958    , 21.383280507267  , 1.64173493752992    , -1.14223745118677    ,   0.2, 0,  0, -41.0784390785051  , 28.5561013896406    , -5.73388869313212   , -8.34691577499804    , -0.817341792542505   , 0.576153099586737    , -13.1625561438309   , 0.17459810501231     , -9.81897499822831, 0.00220779568365985  , -0.00144761445237912 , 1.32925017975419     , -1.18280580181273   , 0.557804919817653    , -0.119688549651378   , -33.6513803047419  , 37.2848103387334    , -1.24382364720482
 84.46, -40.5591407796911    , 29.2396323371754   , -5.84792646743508   , -8.11182815593823    , 21.3665241593307 , 1.62236563118765    , -1.16958529348702    ,   0.2, 0,  0, -40.7135406464943  , 29.2108290929501    , -5.84659336426042   , -8.23018982935504    , -0.810940348221807   , 0.585128833357146    , 16.9934070429759    , 0.167276713174381    , -9.85489821187507, 0.000765889437061775 , -0.000810911011982205, -1.67522303612677    , -0.882800948552279  , 0.396975688039785    , -0.0458704130940131  , -39.8178211769379  , 29.109665574623     , -0.380693987867842
 84.47, -41.224554950277     , 28.2937461137898   , -5.65874922275795   , -8.2449109900554     , 21.389654541069  , 1.64898219801108    , -1.13174984455159    ,   0.2, 0,  0, -41.2821679876654  , 28.3651377715804    , -5.65881316575656   , -8.41016669404648    , -0.823564309118871   , 0.567222909221371    , -23.2362130875258   , 0.362925371434472    , -9.92422271254159, 0.00174028532059268  , -0.00114117300769318 , 2.31300083748979     , -0.849740803879876  , 0.582652848950469    , 0.151705069664889    , -41.6444768780874  , 26.3769358629683    , -1.2930386903353
 84.48, -40.7090617900849    , 29.0305406110711   , -5.80610812221422   , -8.14181235801699    , 21.3716698684303 , 1.6283624716034     , -1.16122162444284    ,   0.2, 0,  0, -40.6377900945128  , 29.1889383574249    , -5.56548237838184   , -8.26980129135123    , -0.813508508472061   , 0.581553012754265    , 18.0746234747859    , 0.1918052388907      , -9.80431026525223, 0.000656092151986929 , -0.0024039751273165  , -1.79740859924546    , -0.725789728328963  , 0.572914297891635    , -0.0476393103335281  , -42.3525385690127  , 22.5214860682022    , -0.887377276786342
 84.49, -41.1569548658645    , 28.3919894718421   , -5.67839789436843   , -8.2313909731729     , 21.3872694594724 , 1.64627819463458    , -1.13567957887369    ,   0.2, 0,  0, -41.4832265293069  , 28.3347633769655    , -5.61450199552861   , -8.31034748535132    , -0.821966781768953   , 0.569535433198314    , -15.3996622904461   , 0.229596735780569    , -9.79998938158811, 0.000768423356342119 , -0.00204280045638918 , 1.56318451718742     , -0.828200398332834  , 0.582821187736281    , 0.0767094386655843   , -41.3583504702113  , 30.1376281556298    , -0.336404609061333
 84.5 , -41.2001684125602    , 28.3292450089422   , -5.66584900178844   , -8.24003368251204    , 21.3887931758982 , 1.64800673650241    , -1.13316980035769    ,   0.2, 0,  0, -41.1050343980118  , 28.4753738996325    , -5.48001193960006   , -8.23212979353891    , -0.824563524988969   , 0.565769381689894    , -1.55323676383016   , 0.147486589046001    , -9.7853825032178 , 0.00202823943640973  , -0.0031033858826264  , 0.156537395667713    , -0.947307993578207  , 0.746586882484706    , 0.00995073580639791  , -42.3011415662193  , 26.9514374937955    , 0.361805582954006
 84.51, -41.4473831678569    , 27.9663088114405   , -5.5932617622881    , -8.28947663357138    , 21.3975758647405 , 1.65789532671428    , -1.11865235245762    ,   0.2, 0,  0, -41.54092787045    , 27.8024800658748    , -5.6536422982571    , -8.30363638687966    , -0.828206097436802   , 0.560423643477417    , -8.76612185811801   , 0.143285755315449    , -9.80011094039947, 0.001629152489452    , -0.00275457849900222 , 0.881701325949023    , -0.958293001616041  , 0.50205883969062     , -0.122569761828291   , -41.463943830492   , 28.3245167834675    , -1.0015889849255
 84.52, -41.0829746953387    , 28.4989331411223   , -5.69978662822447   , -8.21659493906774    , 21.3846686885435 , 1.64331898781355    , -1.13995732564489    ,   0.2, 0,  0, -41.0714856853061  , 28.4673262522449    , -5.65426660636844   , -8.23526322784355    , -0.821974596352118   , 0.569524154844877    , 12.9759260417241    , 0.133236835437069    , -9.87290875924724, 0.00281751348813758  , 0.000915517357382187 , -1.28985845721738    , -0.777203493801263  , 0.533576177582244    , 0.255477813786188    , -38.8223973610503  , 27.1561502516383    , -0.743476961358435
 84.53, -41.6014625895969    , 27.7365879373504   , -5.54731758747008   , -8.32029251791937    , 21.4031080376711 , 1.66405850358387    , -1.10946351749402    ,   0.2, 0,  0, -41.3763095298926  , 27.7925215707626    , -5.53866192995367   , -8.21440990649387    , -0.83183965969398    , 0.555016018291547    , -18.2732648981449   , 0.319341953604454    , -9.75986680014511, 0.00453169530067904  , -0.00197501417877466 , 1.84333612354958     , -0.579175698665947  , 0.297915651479328    , 0.0492659089830905   , -40.0274745245555  , 28.0719915429065    , -0.317354110671553
