time,px,py,pz,vx,vy,vz,roll,pitch,yaw,ba_x,ba_y,ba_z,bg_x,bg_y,bg_z,innov_norm,maha_dist
0.155,0,0,0,0,0,0,-0.0248582400381565,-0.00111087434925139,-0.272196263074875,0,0,0,0,0,0,0,0
0.1575,0,0,0,0,0,0,-0.0248582400381565,-0.00111087434925139,-0.272196263074875,0,0,0,0,0,0,0,0
0.16,0,0,0,0,0,0,-0.0248582400381565,-0.00111087434925139,-0.272196263074875,0,0,0,0,0,0,0,0
0.1625,0,0,0,0,0,0,-0.0248582400381565,-0.00111087434925139,-0.272196263074875,0,0,0,0,0,0,0,0
0.165,0,0,0,0,0,0,-0.0248582400381565,-0.00111087434925139,-0.272196263074875,0,0,0,0,0,0,0,0
0.1675,0,0,0,0,0,0,-0.0248582400381565,-0.00111087434925139,-0.272196263074875,0,0,0,0,0,0,0,0
0.17,0,0,0,0,0,0,-0.0248582400381565,-0.00111087434925139,-0.272196263074875,0,0,0,0,0,0,0,0
0.1725,0,0,0,0,0,0,-0.0248582400381565,-0.00111087434925139,-0.272196263074875,0,0,0,0,0,0,0,0
0.175,0,0,0,0,0,0,-0.0248582400381565,-0.00111087434925139,-0.272196263074875,0,0,0,0,0,0,0,0
0.1775,0,0,0,0,0,0,-0.0248582400381565,-0.00111087434925139,-0.272196263074875,0,0,0,0,0,0,0,0
0.18,0,0,0,0,0,0,-0.0248582400381565,-0.00111087434925139,-0.272196263074875,0,0,0,0,0,0,0,0
0.1825,0,0,0,0,0,0,-0.0248582400381565,-0.00111087434925139,-0.272196263074875,0,0,0,0,0,0,0,0
0.185,0,0,0,0,0,0,-0.0248582400381565,-0.00111087434925139,-0.272196263074875,0,0,0,0,0,0,0,0
0.1875,0,0,0,0,0,0,-0.0248582400381565,-0.00111087434925139,-0.272196263074875,0,0,0,0,0,0,0,0
0.19,0,0,0,0,0,0,-0.0248582400381565,-0.00111087434925139,-0.272196263074875,0,0,0,0,0,0,0,0
0.1925,0,0,0,0,0,0,-0.0248582400381565,-0.00111087434925139,-0.272196263074875,0,0,0,0,0,0,0,0
0.195,0,0,0,0,0,0,-0.0248582400381565,-0.00111087434925139,-0.272196263074875,0,0,0,0,0,0,0,0
0.1975,0,0,0,0,0,0,-0.0248582400381565,-0.00111087434925139,-0.272196263074875,0,0,0,0,0,0,0,0
0.2,0,0,0,0,0,0,-0.0248582400381565,-0.00111087434925139,-0.272196263074875,0,0,0,0,0,0,0,0
0.2025,0,0,0,0,0,0,-0.0248582400381565,-0.00111087434925139,-0.272196263074875,0,0,0,0,0,0,0,0
0.205,0,0,0,0,0,0,-0.0248582400381565,-0.00111087434925139,-0.272196263074875,0,0,0,0,0,0,0,0
0.2075,0,0,0,0,0,0,-0.0248582400381565,-0.00111087434925139,-0.272196263074875,0,0,0,0,0,0,0,0
0.21,0,0,0,0,0,0,-0.0248582400381565,-0.00111087434925139,-0.272196263074875,0,0,0,0,0,0,0,0
0.2125,0,0,0,0,0,0,-0.0248582400381565,-0.00111087434925139,-0.272196263074875,0,0,0,0,0,0,0,0
0.215,0,0,0,0,0,0,-0.0248582400381565,-0.00111087434925139,-0.272196263074875,0,0,0,0,0,0,0,0
0.2175,0,0,0,0,0,0,-0.0248582400381565,-0.00111087434925139,-0.272196263074875,0,0,0,0,0,0,0,0
0.22,0,0,0,0,0,0,-0.0248582400381565,-0.00111087434925139,-0.272196263074875,0,0,0,0,0,0,0,0
0.2225,0,0,0,0,0,0,-0.0248582400381565,-0.00111087434925139,-0.272196263074875,0,0,0,0,0,0,0,0
0.225,0,0,0,0,0,0,-0.0248582400381565,-0.00111087434925139,-0.272196263074875,0,0,0,0,0,0,0,0
0.2275,0,0,0,0,0,0,-0.0248582400381565,-0.00111087434925139,-0.272196263074875,0,0,0,0,0,0,0,0
0.23,0,0,0,0,0,0,-0.0248582400381565,-0.00111087434925139,-0.272196263074875,0,0,0,0,0,0,0,0
0.2325,0,0,0,0,0,0,-0.0248582400381565,-0.00111087434925139,-0.272196263074875,0,0,0,0,0,0,0,0
0.235,0,0,0,0,0,0,-0.0248582400381565,-0.00111087434925139,-0.272196263074875,0,0,0,0,0,0,0,0
0.2375,0,0,0,0,0,0,-0.0248582400381565,-0.00111087434925139,-0.272196263074875,0,0,0,0,0,0,0,0
0.24,0,0,0,0,0,0,-0.0248582400381565,-0.00111087434925139,-0.272196263074875,0,0,0,0,0,0,0,0
0.2425,0,0,0,0,0,0,-0.0248582400381565,-0.00111087434925139,-0.272196263074875,0,0,0,0,0,0,0,0
0.245,0,0,0,0,0,0,-0.0248582400381565,-0.00111087434925139,-0.272196263074875,0,0,0,0,0,0,0,0
0.2475,0,0,0,0,0,0,-0.0248582400381565,-0.00111087434925139,-0.272196263074875,0,0,0,0,0,0,0,0
0.25,0,0,0,0,0,0,-0.0248582400381565,-0.00111087434925139,-0.272196263074875,0,0,0,0,0,0,0,0
0.2525,0,0,0,0,0,0,-0.0248582400381565,-0.00111087434925139,-0.272196263074875,0,0,0,0,0,0,0,0
0.255,0,0,0,0,0,0,-0.0248582400381565,-0.00111087434925139,-0.272196263074875,0,0,0,0,0,0,0,0
0.2575,0,0,0,0,0,0,-0.0248582400381565,-0.00111087434925139,-0.272196263074875,0,0,0,0,0,0,0,0
0.26,0,0,0,0,0,0,-0.0248582400381565,-0.00111087434925139,-0.272196263074875,0,0,0,0,0,0,0,0
0.2625,0,0,0,0,0,0,-0.0248582400381565,-0.00111087434925139,-0.272196263074875,0,0,0,0,0,0,0,0
0.265,0,0,0,0,0,0,-0.0248582400381565,-0.00111087434925139,-0.272196263074875,0,0,0,0,0,0,0,0
0.2675,0,0,0,0,0,0,-0.0248582400381565,-0.00111087434925139,-0.272196263074875,0,0,0,0,0,0,0,0
0.27,0,0,0,0,0,0,-0.0248582400381565,-0.00111087434925139,-0.272196263074875,0,0,0,0,0,0,0,0
0.2725,0,0,0,0,0,0,-0.0248582400381565,-0.00111087434925139,-0.272196263074875,0,0,0,0,0,0,0,0
0.275,0,0,0,0,0,0,-0.0248582400381565,-0.00111087434925139,-0.272196263074875,0,0,0,0,0,0,0,0
0.2775,0,0,0,0,0,0,-0.0248582400381565,-0.00111087434925139,-0.272196263074875,0,0,0,0,0,0,0,0
0.28,0,0,0,0,0,0,-0.0248582400381565,-0.00111087434925139,-0.272196263074875,0,0,0,0,0,0,0,0
0.2825,0,0,0,0,0,0,-0.0248582400381565,-0.00111087434925139,-0.272196263074875,0,0,0,0,0,0,0,0
0.285,0,0,0,0,0,0,-0.0248582400381565,-0.00111087434925139,-0.272196263074875,0,0,0,0,0,0,0,0
0.2875,0,0,0,0,0,0,-0.0248582400381565,-0.00111087434925139,-0.272196263074875,0,0,0,0,0,0,0,0
0.29,0,0,0,0,0,0,-0.0248582400381565,-0.00111087434925139,-0.272196263074875,0,0,0,0,0,0,0,0
0.2925,0,0,0,0,0,0,-0.0248582400381565,-0.00111087434925139,-0.272196263074875,0,0,0,0,0,0,0,0
0.295,0,0,0,0,0,0,-0.0248582400381565,-0.00111087434925139,-0.272196263074875,0,0,0,0,0,0,0,0
0.2975,0,0,0,0,0,0,-0.0248582400381565,-0.00111087434925139,-0.272196263074875,0,0,0,0,0,0,0,0
0.3,0,0,0,0,0,0,-0.0248582400381565,-0.00111087434925139,-0.272196263074875,0,0,0,0,0,0,0,0
0.3025,0,0,0,0,0,0,-0.0248582400381565,-0.00111087434925139,-0.272196263074875,0,0,0,0,0,0,0,0
0.305,0,0,0,0,0,0,-0.0248582400381565,-0.00111087434925139,-0.272196263074875,0,0,0,0,0,0,0,0
0.3075,0,0,0,0,0,0,-0.0248582400381565,-0.00111087434925139,-0.272196263074875,0,0,0,0,0,0,0,0
0.31,0,0,0,0,0,0,-0.0248582400381565,-0.00111087434925139,-0.272196263074875,0,0,0,0,0,0,0,0
0.3125,0,0,0,0,0,0,-0.0248582400381565,-0.00111087434925139,-0.272196263074875,0,0,0,0,0,0,0,0
0.315,0,0,0,0,0,0,-0.0248582400381565,-0.00111087434925139,-0.272196263074875,0,0,0,0,0,0,0,0
0.3175,0,0,0,0,0,0,-0.0248582400381565,-0.00111087434925139,-0.272196263074875,0,0,0,0,0,0,0,0
0.32,0,0,0,0,0,0,-0.0248582400381565,-0.00111087434925139,-0.272196263074875,0,0,0,0,0,0,0,0
0.3225,0,0,0,0,0,0,-0.0248582400381565,-0.00111087434925139,-0.272196263074875,0,0,0,0,0,0,0,0
0.325,0,0,0,0,0,0,-0.0248582400381565,-0.00111087434925139,-0.272196263074875,0,0,0,0,0,0,0,0
0.3275,0,0,0,0,0,0,-0.0248582400381565,-0.00111087434925139,-0.272196263074875,0,0,0,0,0,0,0,0
0.33,0,0,0,0,0,0,-0.0248582400381565,-0.00111087434925139,-0.272196263074875,0,0,0,0,0,0,0,0
0.3325,0,0,0,0,0,0,-0.0248582400381565,-0.00111087434925139,-0.272196263074875,0,0,0,0,0,0,0,0
0.335,0,0,0,0,0,0,-0.0248582400381565,-0.00111087434925139,-0.272196263074875,0,0,0,0,0,0,0,0
0.3375,0,0,0,0,0,0,-0.0248582400381565,-0.00111087434925139,-0.272196263074875,0,0,0,0,0,0,0,0
0.34,0,0,0,0,0,0,-0.0248582400381565,-0.00111087434925139,-0.272196263074875,0,0,0,0,0,0,0,0
0.3425,0,0,0,0,0,0,-0.0248582400381565,-0.00111087434925139,-0.272196263074875,0,0,0,0,0,0,0,0
0.345,0,0,0,0,0,0,-0.0248582400381565,-0.00111087434925139,-0.272196263074875,0,0,0,0,0,0,0,0
0.3475,0,0,0,0,0,0,-0.0248582400381565,-0.00111087434925139,-0.272196263074875,0,0,0,0,0,0,0,0
0.35,0,0,0,0,0,0,-0.0248582400381565,-0.00111087434925139,-0.272196263074875,0,0,0,0,0,0,0,0
0.3525,0,0,0,0,0,0,-0.0248582400381565,-0.00111087434925139,-0.272196263074875,0,0,0,0,0,0,0,0
0.355,0,0,0,0,0,0,-0.0248582400381565,-0.00111087434925139,-0.272196263074875,0,0,0,0,0,0,0,0
0.3575,0,0,0,0,0,0,-0.0248582400381565,-0.00111087434925139,-0.272196263074875,0,0,0,0,0,0,0,0
0.36,0,0,0,0,0,0,-0.0248582400381565,-0.00111087434925139,-0.272196263074875,0,0,0,0,0,0,0,0
0.3625,0,0,0,0,0,0,-0.0248582400381565,-0.00111087434925139,-0.272196263074875,0,0,0,0,0,0,0,0
0.365,0,0,0,0,0,0,-0.0248582400381565,-0.00111087434925139,-0.272196263074875,0,0,0,0,0,0,0,0
